3865-T,ìåèÿ1ïî,ñkâzãIèB,ì˙ë´
ì˙ït,éníl,çÇíl,à¿íl,èIíl,èoóàçÇ,îÑîÉë„ã‡
2015-10-02,647,669,642,667,766600,506431800
2015-10-01,649,657,635,654,985000,639314000
2015-09-30,657,660,644,649,1068400,695077200
2015-09-29,653,661,640,642,827600,536693500
2015-09-28,676,680,656,660,638400,425674800
2015-09-25,687,687,667,682,730800,493315400
2015-09-24,677,694,675,677,489200,333528700
2015-09-18,701,703,685,696,671000,466947800
2015-09-17,716,716,696,713,689600,487089300
2015-09-16,723,725,705,711,516400,367508300
2015-09-15,713,733,705,721,736600,531183800
2015-09-14,724,726,704,709,618700,440162700
2015-09-11,715,727,707,718,2116600,1516848600
2015-09-10,703,716,686,715,910100,643702200
2015-09-09,686,714,678,711,1027100,721190700
2015-09-08,669,676,658,660,548400,364676300
2015-09-07,664,668,650,663,655900,433496500
2015-09-04,674,678,656,661,585300,389955400
2015-09-03,683,694,673,674,590500,402714100
2015-09-02,682,703,673,678,1058900,726230900
2015-09-01,717,729,696,698,818600,582591700
2015-08-31,708,723,701,722,835900,597902100
2015-08-28,693,713,691,706,816500,576542600
2015-08-27,686,694,675,682,1019300,697836100
2015-08-26,664,686,662,684,1119800,755071100
2015-08-25,692,704,666,669,1492400,1021521900
2015-08-24,742,743,704,705,1029400,744034200
2015-08-21,734,754,725,744,959200,713390300
2015-08-20,747,752,736,737,422400,313344400
2015-08-19,762,763,748,749,528100,397252300
2015-08-18,757,764,751,761,447900,339830100
2015-08-17,755,763,747,754,484700,364478500
2015-08-14,734,757,729,750,860500,640925400
2015-08-13,729,734,716,731,866400,629081300
2015-08-12,732,754,725,730,1125100,828478800
2015-08-11,765,779,730,750,1013000,763908500
2015-08-10,757,779,751,772,826100,635693500
2015-08-07,766,766,744,762,976800,741664100
2015-08-06,748,765,740,763,891100,673572700
2015-08-05,742,754,735,746,661900,493686000
2015-08-04,731,744,728,742,707400,523018700
2015-08-03,736,745,728,740,846600,624415500
2015-07-31,742,746,735,740,507400,375616500
2015-07-30,740,748,734,746,953700,708566100
2015-07-29,734,741,722,739,525400,385592600
2015-07-28,732,737,715,732,1199100,874090900
2015-07-27,739,739,719,728,504300,368223500
2015-07-24,751,759,736,738,1108100,828458700
2015-07-23,745,757,742,750,986200,739029000
2015-07-22,728,743,722,741,1119000,821669800
2015-07-21,717,737,715,735,830000,604141800
2015-07-17,713,721,707,710,830700,592499000
2015-07-16,714,719,705,716,1047400,747306700
2015-07-15,705,715,704,707,693700,492115700
2015-07-14,699,704,694,702,679700,476119500
2015-07-13,682,695,678,690,597300,411389800
2015-07-10,679,688,671,682,1364200,928904500
2015-07-09,656,678,652,677,974900,650735500
2015-07-08,700,701,675,676,1148100,782891200
2015-07-07,700,705,692,697,1128400,787125900
2015-07-06,670,680,663,665,780400,521858400
2015-07-03,660,678,660,678,612600,411624300
2015-07-02,671,671,653,655,548800,361221000
2015-07-01,682,682,659,661,800000,532718000
2015-06-30,673,679,664,676,883200,594875500
2015-06-29,686,689,665,665,812700,546438600
2015-06-26,696,709,681,689,656700,454333700
2015-06-25,690,699,687,689,564000,390293700
2015-06-24,702,702,689,694,670600,466634000
2015-06-23,690,707,688,695,927600,645911000
2015-06-22,676,686,676,683,570600,388418100
2015-06-19,679,691,667,676,1141100,772792900
